score	omim	nom	n_hpo	n_hpo_foetal	n_onset_prenatal	signes_lourds	orpha	dans_syndromes
5.6	OMIM:610773	Mitochondrial phosphate carrier deficiency	8	6	3	HP:0002093	ORPHA:91130	
5.6	OMIM:600721	D-2-Hydroxyglutaric aciduria 1	30	16	0	HP:0001250;HP:0002007	ORPHA:79315	
5.6	OMIM:269200	Autoimmune polyendocrine syndrome, type II	23	16	0	HP:0000821;HP:0001250	ORPHA:3143	
5.6	OMIM:248910	Cutaneous mastocytosis, conductive hearing loss, and microtia	21	16	0	HP:0000252;HP:0004322	ORPHA:2135	
5.6	OMIM:209950	Immunodeficiency 27A, mycobacteriosis, AR	25	16	0	HP:0001744;HP:0002090	ORPHA:319569,ORPHA:99898	
5.6	OMIM:162100	Amyotrophy, hereditary neuralgic	21	16	0	HP:0000175;HP:0004322	ORPHA:2901	dans syndromes
5.5	OMIM:620780	Cutis laxa, autosomal recessive, type ID	48	35	0	HP:0000776	—	
5.5	OMIM:620688	Intellectual developmental disorder, autosomal dominant 74	33	15	0	HP:0000252;HP:0001511	ORPHA:528084	dans syndromes
5.5	OMIM:620609	Long-Olsen-Distelmaier syndrome	32	25	1	HP:0001629	—	
5.5	OMIM:620542	Neuronopathy, distal hereditary motor, autosomal recessive 10	29	15	0	HP:0000252;HP:0001321	ORPHA:423894	
5.5	OMIM:620237	Intellectual developmental disorder, autosomal recessive 78	22	15	0	HP:0000252;HP:0001156	—	
5.5	OMIM:620133	Dyskeratosis congenita, autosomal recessive 8	21	15	0	HP:0001511;HP:0001622	ORPHA:1775	
5.5	OMIM:619873	Parenti-Mignot neurodevelopmental syndrome	26	15	0	HP:0001250;HP:0002007	ORPHA:528084	dans syndromes
5.5	OMIM:619527	Pontocerebellar hypoplasia, type 16	27	15	0	HP:0001250;HP:0001321	ORPHA:728514	
5.5	OMIM:619467	Usmani-Riazuddin syndrome, autosomal dominant	30	15	0	HP:0001250;HP:0002007	ORPHA:528084	dans syndromes
5.5	OMIM:619426	White-Kernohan syndrome	49	35	0	HP:0000821	ORPHA:716109	
5.5	OMIM:619318	Oculogastrointestinal neurodevelopmental syndrome	21	15	0	HP:0000252;HP:0004322	ORPHA:611201	
5.5	OMIM:619115	Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 1	17	15	0	HP:0001631;HP:0004322	ORPHA:230857	
5.5	OMIM:619076	Neurodevelopmental disorder with microcephaly, seizures, and brain atrophy	25	15	0	HP:0000252;HP:0001250	ORPHA:528084	dans syndromes
5.5	OMIM:617992	Deafness, congenital heart defects, and posterior embryotoxon	8	5	3	HP:0001629	—	
5.5	OMIM:616269	Intellectual developmental disorder, autosomal recessive 48	33	15	0	HP:0000252;HP:0001250	ORPHA:457212	
5.5	OMIM:615191	Lissencephaly 5	25	15	0	HP:0000238;HP:0001250	ORPHA:352682	
5.5	OMIM:613680	Beaulieu-Boycott-Innes syndrome	25	15	0	HP:0000252;HP:0001629	ORPHA:363444	
5.5	OMIM:610185	Cerebellar ataxia, impaired intellectual development, and dysquilibrium syndrome 2	34	15	0	HP:0001321;HP:0004322	ORPHA:1766	
5.5	OMIM:607765	Bile acid synthesis defect, congenital, 1	20	15	0	HP:0001744;HP:0002240	ORPHA:79301	
5.5	OMIM:600460	Cleft palate, cardiac defect, genital anomalies, and ectrodactyly	22	15	0	HP:0000175;HP:0001629	ORPHA:2008	
5.5	OMIM:308350	Developmental and epileptic encephalopathy 1	38	15	2	HP:0000252	ORPHA:1934,ORPHA:3175,ORPHA:364063,ORPHA:697160	
5.5	OMIM:300673	Encephalopathy, neonatal severe, due to mecp2 mutations	20	5	1	HP:0001250;HP:0002093	ORPHA:209370	
5.5	OMIM:300263	Intellectual developmental disorder, X-linked syndromic, Siderius type	20	15	0	HP:0000175;HP:0000252	ORPHA:85287	
5.5	OMIM:256600	Neurodegeneration with brain iron accumulation 2A	36	15	0	HP:0001250;HP:0002007	ORPHA:35069	
5.5	OMIM:222748	Dihydropyrimidinuria	36	15	0	HP:0000252;HP:0001250	ORPHA:38874	
5.5	OMIM:182250	Singleton-Merten syndrome 1	53	35	0	HP:0004322	ORPHA:85191	dans syndromes
5.4	OMIM:621439	Neutropenia, severe congenital, 12, autosomal recessive	51	34	0	HP:0002090	—	
5.4	OMIM:621214	Leukodystrophy, adult-onset, autosomal dominant, without amyloid angiopathy	39	14	0	HP:0000238;HP:0001250	—	
5.4	OMIM:619616	Neurodevelopmental disorder with hearing loss and spasticity	29	14	0	HP:0000252;HP:0001250	ORPHA:659975	
5.4	OMIM:619476	Joubert syndrome 38	21	14	0	HP:0002007;HP:0004322	ORPHA:475	
5.4	OMIM:619463	Portal hypertension, noncirrhotic, 2	19	14	0	HP:0001744;HP:0002240	—	
5.4	OMIM:619183	Proteasome-associated autoinflammatory syndrome 4	18	14	0	HP:0001744;HP:0002240	ORPHA:324977	
5.4	OMIM:619151	AMED syndrome, digenic	21	14	0	HP:0000252;HP:0004322	ORPHA:611216	
5.4	OMIM:618808	Intellectual developmental disorder with poor growth and with or without seizures or ataxia	15	4	1	HP:0000252;HP:0001250	ORPHA:88616	
5.4	OMIM:618797	Neurodevelopmental disorder with hypotonia, neonatal respiratory insufficiency, and thermodysregulation	34	24	1	HP:0001622	—	
5.4	OMIM:618349	Galloway-Mowat syndrome 8	24	14	0	HP:0000252;HP:0001250	ORPHA:2065	
5.4	OMIM:618286	Macrocephaly, acquired, with impaired intellectual development	25	14	0	HP:0001250;HP:0001274	ORPHA:714404,ORPHA:714407	
5.4	OMIM:618222	Mitochondrial complex I deficiency, nuclear type 2	31	14	0	HP:0001250;HP:0002093	ORPHA:2609	
5.4	OMIM:617877	Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies 1	40	34	0	HP:0004322	ORPHA:261295	
5.4	OMIM:617682	Pilarowski-Bjornsson syndrome	22	14	0	HP:0001250;HP:0002007	ORPHA:529965	
5.4	OMIM:617514	Immunodeficiency 52	27	14	0	HP:0001522;HP:0001744	ORPHA:504523	
5.4	OMIM:617276	Developmental and epileptic encephalopathy 48	28	14	0	HP:0000252;HP:0001250	ORPHA:1934	
5.4	OMIM:617183	Harel-Yoon syndrome	38	24	1	HP:0002007	ORPHA:496790	
5.4	OMIM:616910	Immunodeficiency-Centromeric instability-facial anomalies syndrome 3	24	14	0	HP:0000252;HP:0001511	ORPHA:2268	dans syndromes
