score	omim	nom	n_hpo	n_hpo_foetal	n_onset_prenatal	signes_lourds	orpha	dans_syndromes
46.1	OMIM:617925	Short-Rib thoracic dysplasia 20 with polydactyly	44	41	32	HP:0000175;HP:0002007;HP:0002089;HP:0003811;HP:0100258	—	
41.5	OMIM:618505	Stolerman neurodevelopmental syndrome	234	155	0	HP:0000175;HP:0000238;HP:0000252;HP:0001156;HP:0001250;HP:0001274;HP:0001511;HP:0001558;HP:0001561;HP:0001629;HP:0002007;HP:0002090;HP:0004322	ORPHA:528084	dans syndromes
37.1	OMIM:619488	DEGCAGS syndrome	125	101	9	HP:0000252;HP:0001274;HP:0001511;HP:0001561;HP:0001622;HP:0001629;HP:0001631;HP:0002090;HP:0002240	ORPHA:528084	dans syndromes
36.9	OMIM:265380	Alveolar capillary dysplasia with misalignment of pulmonary veins	80	69	20	HP:0000175;HP:0001561;HP:0001629;HP:0001631;HP:0003811	ORPHA:210122	
36.5	OMIM:300868	Multiple congenital anomalies-hypotonia-seizures syndrome 2	202	145	0	HP:0000252;HP:0001250;HP:0001321;HP:0001522;HP:0001561;HP:0001631;HP:0001744;HP:0001789;HP:0002090;HP:0002240;HP:0004322	ORPHA:300496	
35.7	OMIM:617866	Short-Rib thoracic dysplasia 18 with polydactyly	28	27	27	HP:0000238;HP:0001156;HP:0100258	—	
35.6	OMIM:621220	Guillouet-Gordon syndrome	196	136	0	HP:0000175;HP:0000776;HP:0001250;HP:0001274;HP:0001511;HP:0001561;HP:0001562;HP:0001629;HP:0001631;HP:0002007;HP:0004322	—	
34.4	OMIM:621184	Tayoun-Maawali syndrome	119	84	0	HP:0000104;HP:0000107;HP:0000238;HP:0000252;HP:0000821;HP:0001250;HP:0001511;HP:0001562;HP:0001622;HP:0001629;HP:0001631;HP:0002089;HP:0004322	—	
33.2	OMIM:301118	Intellectual developmental disorder, X-linked syndromic 37	201	152	0	HP:0000175;HP:0000821;HP:0001250;HP:0001561;HP:0001562;HP:0001622;HP:0001629;HP:0001631;HP:0002007	—	
32.9	OMIM:621302	Neurodevelopmental disorder with seizures and joint laxity	153	89	0	HP:0000175;HP:0001156;HP:0001250;HP:0001511;HP:0001558;HP:0001562;HP:0001622;HP:0001627;HP:0001629;HP:0001631;HP:0002007;HP:0004322	—	
31.0	OMIM:619841	Chilton-Okur-Chung neurodevelopmental syndrome	106	80	7	HP:0000252;HP:0001274;HP:0001511;HP:0001558;HP:0001561;HP:0001562;HP:0002007;HP:0004322	—	
29.6	OMIM:616900	Hypotonia, infantile, with psychomotor retardation and characteristic facies 3	119	86	3	HP:0000238;HP:0000252;HP:0000821;HP:0001250;HP:0001321;HP:0001558;HP:0001561;HP:0001562;HP:0002093	ORPHA:488632	
29.1	OMIM:621533	Neurodevelopmental disorder with seizures and impaired intellectual and language development	138	91	0	HP:0000252;HP:0000821;HP:0001250;HP:0001558;HP:0001561;HP:0001622;HP:0001627;HP:0001631;HP:0002093;HP:0004322	—	
28.5	OMIM:619534	Biliary, renal, neurologic, and skeletal syndrome	107	85	0	HP:0000238;HP:0001250;HP:0001395;HP:0001561;HP:0001629;HP:0001744;HP:0002007;HP:0002240;HP:0003811;HP:0004322	—	
28.5	OMIM:300855	Ogden syndrome	134	105	0	HP:0000252;HP:0001511;HP:0001558;HP:0001562;HP:0001629;HP:0001631;HP:0002000;HP:0002089;HP:0004322	ORPHA:276432	
28.1	OMIM:621295	Cerebral arteriopathy, autosomal recessive, with subcortical infarcts and leukoencephalopathy 1	156	81	0	HP:0000252;HP:0000776;HP:0000821;HP:0001250;HP:0001511;HP:0001558;HP:0001561;HP:0001562;HP:0001629;HP:0004322	—	
28.0	OMIM:621337	Cranioectodermal dysplasia 6	98	80	0	HP:0000107;HP:0000238;HP:0000252;HP:0001156;HP:0001511;HP:0001744;HP:0002007;HP:0002090;HP:0002240;HP:0004322	—	
27.9	OMIM:600001	Pancreatic agenesis and congenital heart defects	38	29	13	HP:0000252;HP:0000776;HP:0001250;HP:0001511;HP:0001629;HP:0001631	ORPHA:2255	
27.7	OMIM:601559	Stuve-Wiedemann syndrome	86	67	3	HP:0001156;HP:0001250;HP:0001511;HP:0001522;HP:0001562;HP:0002007;HP:0002089;HP:0002093;HP:0004322	ORPHA:3206	
27.1	OMIM:617926	Orofaciodigital syndrome XVII	24	21	23	HP:0004322	—	
26.7	OMIM:618815	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster	20	17	17	HP:0001250;HP:0001522;HP:0001789;HP:0001989	ORPHA:656279	
26.7	OMIM:615471	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)	119	87	0	HP:0000238;HP:0000252;HP:0001250;HP:0001321;HP:0001622;HP:0001631;HP:0002007;HP:0002240;HP:0004322	ORPHA:369897	
26.7	OMIM:300998	Intellectual developmental disorder, X-linked syndromic 35	68	47	4	HP:0000252;HP:0001250;HP:0001321;HP:0001511;HP:0001561;HP:0001622;HP:0001629;HP:0001631;HP:0004322	ORPHA:435938,ORPHA:459070	
26.5	OMIM:257300	Mosaic variegated aneuploidy syndrome 1	59	45	0	HP:0000107;HP:0000175;HP:0000238;HP:0000252;HP:0001250;HP:0001274;HP:0001321;HP:0001511;HP:0001562;HP:0001631;HP:0004322	ORPHA:1052	
26.1	OMIM:616268	Arboleda-Tham syndrome	113	81	2	HP:0000175;HP:0000252;HP:0001156;HP:0001250;HP:0001511;HP:0001629;HP:0001631;HP:0002007	ORPHA:457193	
25.9	OMIM:614576	Congenital disorder of glycosylation, type IIl	51	39	4	HP:0000238;HP:0000252;HP:0001250;HP:0001511;HP:0001522;HP:0001629;HP:0001631;HP:0001744;HP:0002240	ORPHA:464443	
25.8	OMIM:618268	Trichohepatoneurodevelopmental syndrome	82	58	0	HP:0000252;HP:0000821;HP:0001250;HP:0001321;HP:0001558;HP:0001561;HP:0001622;HP:0001629;HP:0001744;HP:0002240	—	
25.8	OMIM:301056	Multiple congenital anomalies-neurodevelopmental syndrome, X-linked	71	58	2	HP:0000252;HP:0001250;HP:0001274;HP:0001321;HP:0001511;HP:0001561;HP:0001629;HP:0002240;HP:0004322	—	
25.6	OMIM:621381	Congenital disorder of glycosylation, type IICC	130	76	0	HP:0000821;HP:0001250;HP:0001395;HP:0001562;HP:0001629;HP:0001631;HP:0002089;HP:0002240;HP:0004322	—	
25.1	OMIM:269860	Short-rib thoracic dysplasia 12	58	51	0	HP:0000238;HP:0001156;HP:0001511;HP:0001561;HP:0001629;HP:0001744;HP:0002089;HP:0002093;HP:0002240;HP:0003811	ORPHA:93268	
24.9	OMIM:236500	Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly	31	29	8	HP:0000107;HP:0001156;HP:0001321;HP:0001562;HP:0002089;HP:0003811;HP:0003826	ORPHA:500135	
24.6	OMIM:621254	Immunodeficiency 133 with ectodermal dysplasia with or without peripheral neuropathy	151	86	0	HP:0000175;HP:0000252;HP:0001250;HP:0001631;HP:0001744;HP:0002007;HP:0002090;HP:0002240	ORPHA:730318	
24.1	OMIM:621304	Developmental and epileptic encephalopathy 119	183	101	0	HP:0000175;HP:0000252;HP:0001156;HP:0001627;HP:0001629;HP:0002007;HP:0004322	—	
23.9	OMIM:621474	Neurodevelopmental disorder with congenital cardiac defects and variable renal and ocular abnormalities	136	99	0	HP:0000107;HP:0000238;HP:0000252;HP:0001250;HP:0001629;HP:0001631;HP:0004322	ORPHA:717841	
23.6	OMIM:619503	Neurodevelopmental disorder with hypotonia and dysmorphic facies	155	116	2	HP:0001250;HP:0001558;HP:0001562;HP:0001629;HP:0002007	ORPHA:528084	dans syndromes
23.4	OMIM:256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	190	114	0	HP:0000252;HP:0000821;HP:0001250;HP:0001744;HP:0002240;HP:0004322	ORPHA:255229	
23.3	OMIM:308205	IFAP syndrome with or without BRESHECK syndrome	70	53	0	HP:0000104;HP:0000175;HP:0000252;HP:0001250;HP:0001522;HP:0001562;HP:0001631;HP:0003811;HP:0004322	ORPHA:2273,ORPHA:85284	
23.1	OMIM:605039	Bohring-Opitz syndrome	74	61	1	HP:0000252;HP:0001250;HP:0001274;HP:0001511;HP:0001561;HP:0001629;HP:0001631;HP:0004322	ORPHA:97297	
22.8	OMIM:621060	Neurodevelopmental disorder with microcephaly, absent speech, and hypotonia	70	48	0	HP:0000104;HP:0000175;HP:0000238;HP:0000252;HP:0000821;HP:0001250;HP:0002089;HP:0002240;HP:0100258	—	
22.7	OMIM:620852	Neurodevelopemental disorder with hypotonia, feeding difficulties, facial dysmorphism, and brain abnormalities	67	47	0	HP:0000175;HP:0000252;HP:0001250;HP:0001274;HP:0001561;HP:0001562;HP:0001629;HP:0001631;HP:0004322	—	
22.6	OMIM:617516	Stankiewicz-Isidor syndrome	90	56	1	HP:0000175;HP:0001156;HP:0001250;HP:0001511;HP:0001629;HP:0001631;HP:0002007;HP:0004322	ORPHA:528084	dans syndromes
22.3	OMIM:619991	Liver disease, severe congenital	105	73	3	HP:0001511;HP:0001629;HP:0001631;HP:0001744;HP:0002090;HP:0002240	—	
21.8	OMIM:619148	Chromosome 13q33-q34 deletion syndrome	62	48	7	HP:0000252;HP:0001250;HP:0001274;HP:0002089;HP:0004322	ORPHA:96168	
21.7	OMIM:620775	Neuromuscular disorder, congenital, with dysmorphic facies	69	57	0	HP:0000175;HP:0000252;HP:0001250;HP:0001558;HP:0001562;HP:0001629;HP:0002000;HP:0004322	—	
21.7	OMIM:618454	Developmental delay with or without dysmorphic facies and autism	79	57	2	HP:0000107;HP:0000175;HP:0000252;HP:0000776;HP:0001250;HP:0001629;HP:0004322	—	
21.6	OMIM:618089	Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities	123	96	0	HP:0000175;HP:0000252;HP:0001250;HP:0001631;HP:0002007;HP:0004322	ORPHA:528084	dans syndromes
21.5	OMIM:621384	Developmental delay with variable cardiac and renal congenital anomalies and dysmorphic facies	104	75	0	HP:0000175;HP:0000252;HP:0001250;HP:0001511;HP:0001629;HP:0001631;HP:0004322	—	
21.4	OMIM:621495	STAD syndrome	146	114	0	HP:0000175;HP:0001156;HP:0001321;HP:0001631;HP:0002007	—	
21.4	OMIM:615485	Bainbridge-Ropers syndrome	90	64	3	HP:0000252;HP:0001250;HP:0001511;HP:0001522;HP:0001561;HP:0002000	ORPHA:352577	
21.3	OMIM:619475	Developmental delay, impaired speech, and behavioral abnormalities	188	113	0	HP:0000238;HP:0000252;HP:0001250;HP:0001511;HP:0001629	ORPHA:528084	dans syndromes
21.3	OMIM:618846	Diets-Jongmans syndrome	34	23	9	HP:0000776;HP:0001250;HP:0001561;HP:0001629;HP:0004322	ORPHA:633004	
21.3	OMIM:612474	Chromosome 1q21.1 deletion syndrome, 1.35-mb	98	73	4	HP:0000252;HP:0001156;HP:0001250;HP:0001631;HP:0002007	ORPHA:250989	
21.1	OMIM:621180	Cranioectodermal dysplasia 5	98	71	0	HP:0000107;HP:0001156;HP:0001395;HP:0001622;HP:0001629;HP:0002007;HP:0002240	—	
21.1	OMIM:620771	Jeffries-Lakhani neurodevelopmental syndrome	110	71	0	HP:0000175;HP:0000252;HP:0000821;HP:0001558;HP:0001561;HP:0001562;HP:0004322	—	
21.1	OMIM:616462	Acrofacial dysostosis, Cincinnati type	104	71	0	HP:0000175;HP:0000238;HP:0000252;HP:0001250;HP:0001511;HP:0001629;HP:0004322	ORPHA:1200	
21.1	OMIM:117360	Spinocerebellar ataxia 29, congenital nonprogressive	141	71	0	HP:0000252;HP:0001250;HP:0001321;HP:0001627;HP:0001631;HP:0002007;HP:0004322	ORPHA:208513	
21.0	OMIM:619512	Neurodevelopmental disorder with hypotonia and brain abnormalities	83	60	3	HP:0000238;HP:0000252;HP:0001274;HP:0001321;HP:0001631;HP:0002007	—	
20.9	OMIM:608776	Congenital disorder of glycosylation, type Il	49	39	1	HP:0000252;HP:0001250;HP:0001558;HP:0001631;HP:0001744;HP:0001789;HP:0002007;HP:0002240	ORPHA:79328	
20.8	OMIM:621307	Alsahan-Harris syndrome	83	68	0	HP:0000252;HP:0001156;HP:0001250;HP:0001274;HP:0001511;HP:0001561;HP:0001629	—	
20.7	OMIM:620371	Neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity	93	67	0	HP:0000238;HP:0000252;HP:0001250;HP:0001789;HP:0002089;HP:0002093;HP:0004322	—	
20.6	OMIM:620908	Arterial tortuosity-bone fragility syndrome	115	86	0	HP:0000175;HP:0000252;HP:0000776;HP:0001250;HP:0001511;HP:0001631	—	
20.6	OMIM:616897	Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type	49	46	0	HP:0000175;HP:0000252;HP:0001321;HP:0001511;HP:0001561;HP:0001629;HP:0001789;HP:0002089	ORPHA:457378	
20.5	OMIM:617988	Jaberi-Elahi syndrome	139	85	0	HP:0000238;HP:0000252;HP:0000821;HP:0001250;HP:0001274;HP:0001321	—	
20.5	OMIM:606170	Genitopatellar syndrome	53	45	0	HP:0000252;HP:0000821;HP:0001156;HP:0001274;HP:0001561;HP:0001629;HP:0001631;HP:0002089	ORPHA:85201	dans syndromes
20.4	OMIM:619004	Deeah syndrome	66	44	4	HP:0001250;HP:0001511;HP:0001522;HP:0001561;HP:0002240;HP:0004322	ORPHA:528084,ORPHA:686495	dans syndromes
20.1	OMIM:621122	Paul-Chao neurodevelopmental syndrome	114	61	0	HP:0000107;HP:0000252;HP:0000821;HP:0001250;HP:0001622;HP:0002090;HP:0004322	—	
20.1	OMIM:621063	Muggenthaler-Chowdhury-Chioza syndrome	78	61	0	HP:0000175;HP:0000252;HP:0000776;HP:0001631;HP:0001789;HP:0002007;HP:0004322	ORPHA:508476	
20.1	OMIM:301044	Developmental and epileptic encephalopathy 85, with or without midline brain defects	72	51	1	HP:0000175;HP:0000252;HP:0000776;HP:0001250;HP:0001511;HP:0001629;HP:0001631	ORPHA:708203	
20.0	OMIM:301132	Orofaciodigital syndrome XXI	91	60	0	HP:0000238;HP:0001156;HP:0001250;HP:0001511;HP:0001629;HP:0002007;HP:0004322	—	
20.0	OMIM:225790	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome	24	20	0	HP:0000175;HP:0000238;HP:0000252;HP:0001250;HP:0001274;HP:0001321;HP:0001511;HP:0001561;HP:0001622	ORPHA:221126	
19.9	OMIM:621192	Craniofaciocardiohepatic syndrome	110	79	0	HP:0000175;HP:0000776;HP:0001395;HP:0001622;HP:0001629;HP:0001631	ORPHA:660021	
19.9	OMIM:300712	Craniofacioskeletal syndrome	43	39	0	HP:0000175;HP:0000252;HP:0001156;HP:0001321;HP:0001511;HP:0001629;HP:0001631;HP:0004322	ORPHA:163979	
19.8	OMIM:621415	Intellectual developmental disorder, autosomal dominant 77	160	78	0	HP:0000175;HP:0000252;HP:0000821;HP:0001250;HP:0001562;HP:0002007	—	
19.7	OMIM:261515	D-bifunctional protein deficiency	62	47	3	HP:0000107;HP:0001250;HP:0001561;HP:0001744;HP:0002007;HP:0002240	ORPHA:300	
19.6	OMIM:621379	Neurocardiorenal malformation syndrome	91	56	0	HP:0000252;HP:0001250;HP:0001511;HP:0001558;HP:0001561;HP:0001629;HP:0004322	—	
19.5	OMIM:618164	Cardiac, facial, and digital anomalies with developmental delay	74	55	0	HP:0000252;HP:0001250;HP:0001511;HP:0001622;HP:0001629;HP:0001631;HP:0004322	ORPHA:592570	
19.3	OMIM:616651	Roifman syndrome	40	33	0	HP:0000252;HP:0001156;HP:0001511;HP:0001622;HP:0001629;HP:0001744;HP:0002240;HP:0004322	ORPHA:353298	
19.3	OMIM:615583	Verheij syndrome	39	33	0	HP:0000104;HP:0000107;HP:0000175;HP:0000252;HP:0001250;HP:0001511;HP:0001629;HP:0004322	ORPHA:508488,ORPHA:508498	
19.3	OMIM:256500	Netherton syndrome	151	93	0	HP:0000238;HP:0001250;HP:0001622;HP:0002090;HP:0004322	ORPHA:634	
19.2	OMIM:616546	Short-Rib thoracic dysplasia 14 with polydactyly	35	32	0	HP:0000175;HP:0000238;HP:0000776;HP:0001561;HP:0001631;HP:0001789;HP:0002089;HP:0100258	ORPHA:397715	
19.2	OMIM:615502	Intellectual developmental disorder, autosomal dominant 21	121	92	0	HP:0000175;HP:0000252;HP:0001629;HP:0001631;HP:0004322	ORPHA:363611	
19.1	OMIM:619522	Neurodevelopmental-craniofacial syndrome with variable renal and cardiac abnormalities	73	51	0	HP:0000104;HP:0000252;HP:0001250;HP:0001511;HP:0001629;HP:0001631;HP:0004322	ORPHA:528084	dans syndromes
19.1	OMIM:618622	Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies	46	41	3	HP:0000252;HP:0001250;HP:0001321;HP:0001511;HP:0001522;HP:0001622	ORPHA:664923	
19.1	OMIM:243605	Stromme syndrome	33	31	0	HP:0000175;HP:0000238;HP:0000252;HP:0001274;HP:0001321;HP:0002000;HP:0003826;HP:0100258	ORPHA:444069,ORPHA:506307	
19.1	OMIM:220500	Doors syndrome	55	41	3	HP:0000104;HP:0000175;HP:0000252;HP:0001250;HP:0001629;HP:0001631	ORPHA:3231,ORPHA:79500	dans syndromes
19.1	OMIM:213980	Craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development 1	82	61	1	HP:0000175;HP:0000252;HP:0001558;HP:0001561;HP:0001631;HP:0004322	ORPHA:1394,ORPHA:228407	
18.9	OMIM:602398	Desmosterolosis	49	39	1	HP:0000175;HP:0000238;HP:0000252;HP:0001250;HP:0001274;HP:0002007;HP:0004322	ORPHA:35107	
18.8	OMIM:280000	CHIME syndrome	86	68	0	HP:0000175;HP:0001156;HP:0001250;HP:0001629;HP:0002007;HP:0002240	ORPHA:3474	
18.7	OMIM:621344	Dursun-Ozgul neurodevelopmental syndrome	120	67	0	HP:0000252;HP:0001156;HP:0001250;HP:0001562;HP:0002000;HP:0004322	—	
18.7	OMIM:621265	Nil-Deshwar neurodevelopmental syndrome	103	67	0	HP:0000252;HP:0000821;HP:0001250;HP:0001629;HP:0001631;HP:0004322	—	
18.7	OMIM:608779	Congenital disorder of glycosylation, type IIe	59	47	0	HP:0001250;HP:0001511;HP:0001522;HP:0001744;HP:0002093;HP:0002240;HP:0004322	ORPHA:79333	
18.6	OMIM:621263	Neurodevelopmental disorder with behavioral, ear, and skeletal abnormalities	136	86	0	HP:0001250;HP:0001321;HP:0001622;HP:0001629;HP:0001631	—	
18.5	OMIM:620005	Primordial dwarfism-immunodeficiency-lipodystrophy syndrome	58	45	0	HP:0000252;HP:0000821;HP:0001395;HP:0001511;HP:0001631;HP:0002007;HP:0002093	ORPHA:718037	
18.5	OMIM:619312	Radio-Tartaglia syndrome	79	55	1	HP:0000252;HP:0001156;HP:0001250;HP:0001274;HP:0001629;HP:0002007	ORPHA:662234	
18.5	OMIM:245400	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	51	35	7	HP:0001511;HP:0001522;HP:0002093;HP:0003811	ORPHA:17	
18.3	OMIM:311900	TARP syndrome	48	43	0	HP:0000175;HP:0001250;HP:0001321;HP:0001511;HP:0001562;HP:0001631;HP:0003811	ORPHA:2886	
18.2	OMIM:621506	Neurodevelopmental disorder with parkinsonism or other movement abnormalities	81	42	0	HP:0000252;HP:0001250;HP:0001274;HP:0001558;HP:0002090;HP:0002093;HP:0002240	—	
18.2	OMIM:620376	Autoinflammatory disease, systemic, with vasculitis	56	42	0	HP:0001395;HP:0001511;HP:0001622;HP:0001744;HP:0001789;HP:0002007;HP:0002240	—	
18.1	OMIM:614114	Mosaic variegated aneuploidy syndrome 2	49	41	0	HP:0000252;HP:0000821;HP:0001511;HP:0001629;HP:0001631;HP:0002007;HP:0004322	ORPHA:1052	
18.0	OMIM:621552	Luo-Agrawal neurodevelopmental syndrome	89	60	0	HP:0000252;HP:0001250;HP:0001321;HP:0001511;HP:0001562;HP:0001629	—	
18.0	OMIM:614080	Multiple congenital anomalies-hypotonia-seizures syndrome 1	57	40	0	HP:0000175;HP:0000776;HP:0001250;HP:0001561;HP:0001631;HP:0002007;HP:0002089	ORPHA:280633	
18.0	OMIM:604377	Mitochondrial complex IV deficiency, nuclear type 2	130	80	0	HP:0000252;HP:0001250;HP:0001511;HP:0001522;HP:0002240	ORPHA:1561	
18.0	OMIM:230500	GM1-gangliosidosis, type I	38	30	1	HP:0001250;HP:0001511;HP:0001522;HP:0001744;HP:0001789;HP:0002007;HP:0002240	ORPHA:354,ORPHA:79255	
17.9	OMIM:608540	Congenital disorder of glycosylation, type Ik	25	19	4	HP:0000252;HP:0001250;HP:0001511;HP:0001522;HP:0001744;HP:0002240	ORPHA:79327	
17.9	OMIM:606003	Transaldolase deficiency	34	29	1	HP:0001395;HP:0001511;HP:0001562;HP:0001629;HP:0001631;HP:0001744;HP:0002240	ORPHA:101028	
17.8	OMIM:617506	Noonan syndrome-like disorder with loose anagen hair 2	82	68	1	HP:0001561;HP:0001629;HP:0001631;HP:0002007;HP:0004322	ORPHA:2701	
17.8	OMIM:264480	Pseudotrisomy 13 syndrome	39	38	0	HP:0000104;HP:0000238;HP:0000252;HP:0001274;HP:0001321;HP:0001629;HP:0001631	ORPHA:2166	
17.7	OMIM:621010	Morimoto-Ryu-Malicdan neuromuscular syndrome	107	57	0	HP:0000252;HP:0000821;HP:0001250;HP:0001511;HP:0001629;HP:0004322	ORPHA:715623	
17.7	OMIM:614922	Combined oxidative phosphorylation deficiency 11	39	27	1	HP:0000107;HP:0001250;HP:0001522;HP:0001561;HP:0002240;HP:0003811;HP:0003826	ORPHA:324535	
17.7	OMIM:613658	Rajab interstitial lung disease with brain calcifications	66	47	1	HP:0000252;HP:0001250;HP:0001511;HP:0001562;HP:0002093;HP:0004322	ORPHA:178506	
17.7	OMIM:309500	Renpenning syndrome	62	47	1	HP:0000175;HP:0000252;HP:0001250;HP:0001629;HP:0001631;HP:0004322	ORPHA:3242,ORPHA:93945,ORPHA:93946,ORPHA:93947,ORPHA:93950	
17.7	OMIM:300967	Intellectual developmental disorder, X-linked syndromic 34	66	37	4	HP:0001250;HP:0001321;HP:0001629;HP:0001631;HP:0002007	ORPHA:466791	
17.6	OMIM:621393	Neurodevelopmental disorder with structural brain abnormalities and craniofacial abnormalities	42	36	0	HP:0000175;HP:0001274;HP:0001321;HP:0001511;HP:0001558;HP:0001629;HP:0001789	—	
17.6	OMIM:621049	Pan-Chung-Bellen syndrome	77	56	0	HP:0000252;HP:0001250;HP:0001629;HP:0001631;HP:0002007;HP:0004322	—	
17.6	OMIM:621016	Neurodevelopmental disorder with variable familial hypercholanemia	107	76	0	HP:0000252;HP:0001250;HP:0002007;HP:0002240;HP:0004322	—	
17.4	OMIM:620887	Multiple mitochondrial dysfunctions syndrome 9B	198	94	0	HP:0000252;HP:0001250;HP:0002093;HP:0004322	ORPHA:543470	
17.4	OMIM:617061	Intellectual developmental disorder, autosomal dominant 44, with microcephaly	69	44	3	HP:0000252;HP:0001156;HP:0001250;HP:0001629;HP:0001631	ORPHA:476126	
17.3	OMIM:621201	Neurodevelopmental disorder with dysmorphic facies, brain anomalies, and seizures	111	73	0	HP:0000175;HP:0000252;HP:0001250;HP:0001321;HP:0004322	—	
17.2	OMIM:616541	Short stature, microcephaly, and endocrine dysfunction	58	42	5	HP:0000252;HP:0000821;HP:0001511;HP:0004322	ORPHA:436182	
17.0	OMIM:618142	Microcephaly, facial dysmorphism, renal agenesis, and ambiguous genitalia syndrome	35	30	0	HP:0000252;HP:0001250;HP:0001274;HP:0001511;HP:0001629;HP:0001631;HP:0100258	—	
17.0	OMIM:617330	Hypotonia, ataxia, and delayed development syndrome	70	50	2	HP:0000252;HP:0001250;HP:0001558;HP:0001562;HP:0004322	ORPHA:658843	
17.0	OMIM:616977	Intellectual developmental disorder, autosomal dominant 43	122	70	0	HP:0000252;HP:0001250;HP:0001558;HP:0001562;HP:0004322	ORPHA:178469	
17.0	OMIM:608104	Congenital disorder of glycosylation, type Ih	39	30	0	HP:0000821;HP:0001511;HP:0001522;HP:0001558;HP:0001562;HP:0002240;HP:0003811	ORPHA:79325	
17.0	OMIM:208540	Renal-hepatic-pancreatic dysplasia 1	35	30	0	HP:0001395;HP:0001562;HP:0001631;HP:0001744;HP:0002089;HP:0002240;HP:0003811	ORPHA:294415	
16.9	OMIM:621354	Neurodevelopmental disorder with growth impairment, quadriparesis, and poor or absent speech	131	69	0	HP:0001250;HP:0001321;HP:0001511;HP:0002007;HP:0004322	—	
16.9	OMIM:620985	Karayol-Borroto-Haghshenas neurodevelopmental syndrome	125	69	0	HP:0000252;HP:0000821;HP:0001250;HP:0002007;HP:0004322	—	
16.9	OMIM:612582	Chromosome 6pter-p24 deletion syndrome	66	49	0	HP:0000238;HP:0001250;HP:0001274;HP:0001629;HP:0001631;HP:0002007	ORPHA:96125	
16.9	OMIM:301068	Hardikar syndrome	67	49	0	HP:0001395;HP:0001629;HP:0001631;HP:0001744;HP:0002240;HP:0004322	ORPHA:1415	
16.9	OMIM:251300	Galloway-Mowat syndrome 1	65	49	0	HP:0000252;HP:0001250;HP:0001511;HP:0001562;HP:0002269;HP:0004322	ORPHA:2065	
16.7	OMIM:621585	Mendez-Johnson immunoneurologic syndrome	104	67	0	HP:0000252;HP:0000821;HP:0001511;HP:0001558;HP:0004322	—	
16.7	OMIM:619418	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2	53	37	1	HP:0000252;HP:0001274;HP:0001622;HP:0001629;HP:0001744;HP:0002240	ORPHA:727861	
16.7	OMIM:617452	Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies	50	37	1	HP:0000252;HP:0001250;HP:0001511;HP:0001629;HP:0001631;HP:0004322	ORPHA:505237	
16.6	OMIM:621154	Neurodevelopmental disorder with poor growth, seizures, and brain abnormalities	98	66	0	HP:0000238;HP:0000252;HP:0001250;HP:0002007;HP:0004322	—	
16.6	OMIM:253200	Mucopolysaccharidosis, type VI	64	46	0	HP:0000238;HP:0001250;HP:0001744;HP:0002090;HP:0002240;HP:0004322	ORPHA:276212,ORPHA:276223,ORPHA:583	
16.5	OMIM:618005	Congenital disorder of glycosylation with defective fucosylation 1	34	25	0	HP:0000252;HP:0000821;HP:0001250;HP:0001511;HP:0001561;HP:0001631;HP:0004322	—	
16.5	OMIM:617157	Short stature, brachydactyly, intellectual developmental disability, and seizures	65	45	0	HP:0000252;HP:0001156;HP:0001511;HP:0001561;HP:0002007;HP:0004322	ORPHA:464288	
16.4	OMIM:263210	Gillessen-Kaesbach-Nishimura syndrome	37	34	1	HP:0000252;HP:0000776;HP:0001561;HP:0001562;HP:0001627;HP:0002089	ORPHA:79328	
16.3	OMIM:621608	Developmental and epileptic encephalopathy 122	108	63	0	HP:0000252;HP:0001250;HP:0002007;HP:0002090;HP:0004322	ORPHA:442835	
16.3	OMIM:615102	Tyshchenko syndrome	28	23	0	HP:0000175;HP:0001511;HP:0001561;HP:0001622;HP:0001629;HP:0001631;HP:0004322	ORPHA:289553	
16.3	OMIM:608670	Robin sequence, distinctive facial appearance, and brachydactyly	55	43	0	HP:0000175;HP:0000252;HP:0001511;HP:0001562;HP:0001629;HP:0002000	ORPHA:364577	
16.2	OMIM:618494	Congenital hypotonia, epilepsy, developmental delay, and digital anomalies	60	42	0	HP:0000175;HP:0001250;HP:0001562;HP:0001627;HP:0001629;HP:0001631	—	
16.1	OMIM:617260	Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies	43	31	1	HP:0000107;HP:0000252;HP:0001274;HP:0002007;HP:0002093;HP:0004322	ORPHA:708178	
16.1	OMIM:157800	Cardiospondylocarpofacial syndrome	56	41	0	HP:0000776;HP:0001156;HP:0001558;HP:0001629;HP:0001631;HP:0004322	ORPHA:3238	
