section	rang	hpo_id	signe	nb_fiches_qui_le_nomment	retenu_en_toggle
autopsie — digestif	2	HP:0001537	Hernie ombilicale	38	oui
autopsie — digestif	3	HP:0002023	Atrésie anale	37	oui
autopsie — digestif	4	HP:0001539	Omphalocèle	35	oui
autopsie — digestif	5	HP:0002566	Anomalie de la rotation intestinale	24	
autopsie — digestif	6	HP:0002021	Sténose du pylore	16	
autopsie — digestif	7	HP:0002251	Mégacôlon aganglionnaire congénital	15	
autopsie — digestif	8	HP:0002240	Hépatomégalie	15	
autopsie — rein	1	HP:0000126	Hydronéphrose	28	oui
autopsie — rein	2	HP:0000104	Agénésie rénale	19	oui
autopsie — rein	3	HP:0000110	Dysplasie rénale	10	oui
autopsie — rein	4	HP:0000085	Rein en fer à cheval	10	oui
autopsie — rein	5	HP:0002667	néphroblastome (tumeur de wilms)	9	
autopsie — rein	6	HP:0000125	Rein pelvien	8	
autopsie — rein	7	HP:0000113	Dysplasie rénale polykystique	8	
autopsie — rein	8	HP:0012210	Morphologie rénale  anormale	7	
autopsie — endocrine	1	HP:0000821	Hypothyroïdie	22	oui
autopsie — endocrine	2	HP:0000819	Diabète sucré	11	oui
autopsie — endocrine	3	HP:0000835	Hypoplasie surrénalienne	5	oui
autopsie — endocrine	4	HP:0000843	Hyperparathyroïdie	3	oui
autopsie — endocrine	5	HP:0000836	Hyperthyroïdie	3	
autopsie — endocrine	6	HP:0000778	Hypoplasie du thymus	3	
autopsie — endocrine	7	HP:0040075	Hypopituitarisme	2	
autopsie — endocrine	8	HP:0010314	Thélarche prématurée	2	
autopsie — neuro	1	HP:0000252	Microcéphalie	96	oui
autopsie — neuro	2	HP:0000238	Hydrocéphalie	78	oui
autopsie — neuro	3	HP:0001274	Agénésie corps calleux	44	oui
autopsie — neuro	4	HP:0002119	Ventriculomégalie	29	oui
autopsie — neuro	5	HP:0001321	Hypoplasie cérébelleuse	27	
autopsie — neuro	6	HP:0001305	Malformation de Dandy-Walker	16	
autopsie — neuro	7	HP:0002251	Mégacôlon aganglionnaire congénital	15	
autopsie — neuro	8	HP:0002059	Atrophie cérébrale progressive	15	
